Name,Age,Occupation,Hometown,Height,ElimWeek,Season,Year,Minority,hi
Channy Choch,29,Mortgage Loan Officer,"Santa Rosa, California",,1,14,2010,M,
Elizabeth Kreft (D.C.),29,"Captain, Air National Guard","Union, Kentucky",,1,14,2010,N,
Emily Harkins,23,Fitness Model,"West Chester, Ohio",,1,14,2010,N,
Kimberly Sullivan,24,NBA Dancer,"Norman, Oklahoma",,1,14,2010,N,
Kirsten Pittman,25,Waitress,"Aurora, Colorado",,1,14,2010,N,
Sheila Marie Lidner,25,Commercial Pilot,"Scottsdale, Arizona",,1,14,2010,N,
Stephanie Mueller,24,Dance Teacher,"Morris, Illinois",,1,14,2010,N,
Tiana Kruzel,31,Medical Technician,"Calgary, Alberta",,1,14,2010,N,
Melissa Rycroft,25,Sales Representative,"Dallas, Texas",,,13,2009,N,
Molly Malaney,24,Department Store Buyer,"Brookfield, Wisconsin",,8,13,2009,N,
Jillian Harris,29,Interior Designer,"Peace River, Alberta",,7,13,2009,N,
Naomi Rose Crespo,24,Flight Attendant,"Carlsbad, California",,6,13,2009,N,
Stephanie Hogan,34,Single Mother & Medical Marketing Rep.,"Huntsville, Alabama",,5,13,2009,N,
Lauren Wanger,27,Teacher,"Marlboro, New Jersey",,4,13,2009,N,
Megan Parris,25,Single Mother and Lacrosse Coach,"Sewickley, Pennsylvania",,4,13,2009,N,25
Shannon Bair,29,Dental Hygienist,"Marshall, Missouri",,4,13,2009,N,
"Nicole ""Nikki"" Kaapke",29,Administrative Assistant,"Blue Island, Illinois",,4,13,2009,N,
Erica DeSimone,25,Account Executive,"Monroe, Connecticut",,3,13,2009,N,
Kari Fajen,27,Account Executive,"Lee's Summit, Missouri",,3,13,2009,N,
Natalie Getz,27,Human Resources Recruiter,"Morton, Illinois",,3,13,2009,N,
Raquel Medeiros,27,Medical Student,"Recife, Pernambuco, Brazil",,2,13,2009,N,
Sharon Staebell,32,Teacher,"Batavia, New York",,2,13,2009,N,
Lisa Gonzalez,28,Public Relations Associate,"Boise, Idaho",,2,13,2009,N,
Ann Lueders,24,Flight Attendant,"Phoenix, Arizona",,1,13,2009,N,
Dominique Carta,26,Medical Sales Rep.,"Mt. Carmel, Pennsylvania",,1,13,2009,N,
Emily,23,Casino Marketing Rep.,"Seattle, Washington",,1,13,2009,N,
Jackie Hickey,26,Wedding Coordinator,"Springfield, Massachusetts",,1,13,2009,N,
Julie Dermotta,26,Teacher,"Columbus, Ohio",,1,13,2009,M,
Nicole Mah,25,Menswear Buyer,"Calgary, Alberta",,1,13,2009,N,
Renee Simlak,36,Jewelry Designer,"Southfield, Michigan",,1,13,2009,N,
Shelby,23,Account Executive,"Stockton, California",,1,13,2009,N,
Stacia Mann,24,Single Mother & Charity Accountant,"Orem, Utah",,1,13,2009,N,
Treasure Morgan,28,Single Mother and Nurse Practitioner,"Salt Lake City, Utah",,1,13,2009,N,
Amanda Marsh,23,Event Planner,"Chanute, Kansas",,,1,,,
Trista Rehn,29,Miami Heat Dancer,"Miami, Florida",,6,1,,,
Shannon Oliver,24,Financial Management Consultant,"Dallas, Texas",,5,1,,,
Kim,24,Nanny,"Tempe, Arizona",,4,1,,,
Cathy Grimes,22,Graduate Student,"Terra Haute, Indiana",,3,1,,,
Christina,28,Attorney,"Bonita, California",,3,1,,,
LaNease Adams,23,Actress,"Los Angeles, California",,3,1,,,
Rhonda,28,Commercial Real Estate Agent,"Woodward, Oklahoma",,3,1,,,
Alexa,27,Special Ed. Teacher,"Beverly Hills, California",,2,1,,,
Amy,28,Production Coordinator,"New York, New York",,2,1,,,
Angela,25,Hooters Waitress,"Avondale, Arizona",,2,1,,,
Angelique,27,Actress,"Burbank, California",,2,1,,,
Katie,23,Power Tool Sales Rep.,"Malden, Massachusetts",,2,1,,,
